skill_id,name,profession,classification,database_source,instance_separation,protocol,server_authority,formula,targeting,mp,item_consumption,action_binding,visual,icon,cooldown_match,proficiency,disposition
taoist.spiritual_warfare,精神力战法,taoist,passive_skill,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,no_runtime_visual,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_repair_instance
taoist.summon_divine_beast,召唤神兽,taoist,summon,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,candidate_package_only_not_removed_by_active_game_path,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
taoist.summon_skeleton,召唤骷髅,taoist,summon,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,candidate_package_only_not_removed_by_active_game_path,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
warrior.basic_swordsmanship,基本剑术,warrior,passive_skill,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_source_reconstruction_with_project_adapter,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,no_runtime_visual_passive,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_repair_instance
warrior.fire_sword,烈火剑法,warrior,warrior_attack_modifier,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_source_reconstruction_with_project_adapter,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_warrior_action_effect,runtime_effect_crop_not_MagIcon,False,,retain_definition_rebuild_shared_authority_path
warrior.half_moon,半月弯刀,warrior,warrior_attack_modifier,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_source_reconstruction_with_project_adapter,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_warrior_action_effect,runtime_effect_crop_not_MagIcon,False,,retain_definition_rebuild_shared_authority_path
warrior.slaying_swordsmanship,攻杀剑术,warrior,warrior_attack_modifier,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_source_reconstruction_with_project_adapter,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_warrior_action_effect,runtime_effect_crop_not_MagIcon,False,,retain_definition_rebuild_shared_authority_path
warrior.thrusting,刺杀剑术,warrior,warrior_attack_modifier,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_source_reconstruction_with_project_adapter,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_warrior_action_effect,runtime_effect_crop_not_MagIcon,False,,retain_definition_rebuild_shared_authority_path
warrior.wild_rush,野蛮冲撞,warrior,movement_skill,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_source_reconstruction_with_project_adapter,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,missing_formal_skill_effect,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.exploding_flame,爆裂火焰,wizard,area_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.fire_wall,火墙,wizard,ground_target_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.fireball,火球术,wizard,projectile_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.great_fireball,大火球,wizard,projectile_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.hell_lightning,地狱雷光,wizard,area_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.hellfire,地狱火,wizard,line_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.holy_word,圣言术,wizard,instant_target_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.ice_storm,冰咆哮,wizard,ground_target_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.laser,疾光电影,wizard,line_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.lightning,雷电术,wizard,instant_target_spell,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.magic_shield,魔法盾,wizard,buff,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.repulsion_ring,抗拒火环,wizard,movement_skill,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.teleport,瞬息移动,wizard,teleport,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
wizard.temptation_light,诱惑之光,wizard,special_scripted_skill,Crystal Server.MirDB B/C candidate,partial,in_process_signal_no_network_protocol,absent,classic_rule_with_crystal_value_candidate,incomplete_contract,candidate_applied_before_validation,not_required_or_not_modeled,shared_action_system_timing_unproven,formal_primary_client_pixel,candidate_MagIcon_pair_valid_but_not_bound_to_runtime,False,,retain_definition_rebuild_shared_authority_path
